--- TRADE SIMULATION RESULTS (M1 VERIFIED) ---
Period: 2024-01-01 to Present
Initial Equity: $1000.00
Threshold: 95.0%
Risk per trade: 1.0%
-------------------------------------------------------------------------------------
Entry Time                Exit Time                 Type     Status       Equity         
2026-01-23 18:00:00       2026-01-23 18:18:00       SELL     SL           $1045873201826766913536.00
2026-01-23 18:30:00       2026-01-23 19:55:00       SELL     TP           $1066790665863302217728.00
2026-01-26 01:15:00       2026-01-26 01:46:00       SELL     SL           $1056122759204669227008.00
2026-01-26 02:00:00       2026-01-26 02:33:00       SELL     SL           $1045561531612622487552.00
2026-01-26 02:45:00       2026-01-26 03:12:00       SELL     SL           $1035105916296496283648.00
2026-01-26 03:15:00       2026-01-26 03:16:00       SELL     TP           $1055808034622426185728.00
2026-01-26 03:30:00       2026-01-26 03:31:00       SELL     TP           $1076924195314874712064.00
2026-01-26 04:00:00       2026-01-26 04:21:00       SELL     SL           $1066154953361725980672.00
2026-01-26 15:30:00       2026-01-26 21:02:00       BUY      SL           $1055493403828108656640.00
2026-01-26 22:15:00       2026-01-26 22:16:00       SELL     TP           $1076603271904670777344.00
2026-01-26 22:45:00       2026-01-26 23:14:00       SELL     TP           $1098135337342764187648.00
2026-01-27 01:00:00       2026-01-27 01:01:00       SELL     TP           $1120098044089619447808.00
2026-01-27 01:15:00       2026-01-27 01:41:00       SELL     SL           $1108897063648723206144.00
2026-01-27 01:45:00       2026-01-27 03:13:00       SELL     SL           $1097808093012235911168.00
2026-01-27 16:30:00       2026-01-27 16:31:00       SELL     TP           $1119764254872480645120.00
2026-01-27 17:45:00       2026-01-27 17:46:00       SELL     TP           $1142159539969930297344.00
2026-01-27 18:00:00       2026-01-27 18:20:00       SELL     SL           $1130737944570230996992.00
2026-01-27 22:15:00       2026-01-27 22:46:00       SELL     SL           $1119430565124528668672.00
2026-01-27 23:00:00       2026-01-28 03:06:00       SELL     SL           $1108236259473283350528.00
2026-01-28 03:15:00       2026-01-28 03:20:00       SELL     TP           $1130400984662748954624.00
2026-01-28 03:30:00       2026-01-28 03:31:00       SELL     TP           $1153009004356003954688.00
2026-01-28 03:45:00       2026-01-28 04:32:00       SELL     SL           $1141478914312443920384.00
2026-01-28 04:45:00       2026-01-28 05:05:00       SELL     SL           $1130064125169319542784.00
2026-01-28 05:15:00       2026-01-28 07:05:00       SELL     SL           $1118763483917626376192.00
2026-01-28 19:15:00       2026-01-28 19:17:00       SELL     TP           $1141138753595978940416.00
2026-01-28 20:15:00       2026-01-28 21:57:00       SELL     SL           $1129727366060019154944.00
2026-01-28 23:45:00       2026-01-28 23:46:00       SELL     TP           $1152321913381219598336.00
2026-01-29 01:00:00       2026-01-29 01:01:00       SELL     TP           $1175368351648843956224.00
2026-01-29 01:15:00       2026-01-29 01:30:00       SELL     SL           $1163614668132355538944.00
2026-01-29 01:45:00       2026-01-29 03:42:00       SELL     SL           $1151978521451031953408.00
2026-01-29 16:15:00       2026-01-29 16:16:00       SELL     TP           $1175018091880052555776.00
2026-01-29 16:30:00       2026-01-29 17:02:00       SELL     TP           $1198518453717653520384.00
